purchaseId,itemId,userId,date,amount
4850,184,950,2008-04-06 11:54:47,161.38
2356,24,418,2007-07-28 0:00:19,35.34
2922,164,131,2008-03-14 20:43:54,146.5
4929,198,353,2007-12-18 13:03:24,119.21
510,5,849,2007-11-09 5:18:30,105.24
1455,146,999,2008-01-24 23:02:24,164.94
3428,90,938,2007-12-24 16:28:30,1044.0
2989,195,568,2007-05-07 17:46:15,98.39
2275,190,365,2008-05-31 13:02:21,10049.1
1970,162,961,2008-05-09 10:01:21,182.82
1536,196,568,2007-05-31 15:59:25,118.64
4759,159,603,2007-06-11 14:15:21,1054.45
3926,161,231,2007-07-29 13:47:47,135.14
1848,74,639,2007-06-02 3:46:50,1079.94
1595,85,900,2007-10-20 4:49:56,139.2
950,138,566,2007-10-11 10:05:55,2080.54
1518,10,841,2007-05-09 14:03:37,-640.77
982,98,844,2008-06-26 5:43:30,154.15
1516,167,652,2008-05-23 10:06:59,1086.79
1457,118,990,2008-05-13 2:22:21,10080.0
320,45,808,2008-06-06 20:08:14,10050.52
2587,61,755,2007-07-17 12:04:57,10063.87
4493,190,218,2007-12-09 0:46:16,10020.99
185,159,433,2007-06-17 12:52:20,2061.93
2659,120,909,2008-02-05 12:23:59,168.95
4622,122,185,2007-10-11 3:14:00,143.31
1858,46,833,2008-04-17 14:53:42,89.95
3466,169,114,2007-12-21 0:06:27,1037.78
4191,76,552,2007-11-11 12:50:49,1048.93
3973,85,216,2007-07-16 5:12:39,1014.33
1567,36,982,2007-10-07 15:37:47,1040.58
3426,92,224,2008-05-30 6:32:01,1050.16
1062,171,555,2008-05-30 6:04:58,1051.85
954,43,888,2008-04-03 22:04:42,163.42
4324,119,404,2008-01-11 15:16:37,55.79
3183,103,150,2008-04-05 17:27:37,149.83
1728,93,747,2008-01-01 20:23:17,193.33
4122,130,453,2007-07-14 1:29:26,1050.49
772,132,747,2007-10-28 2:51:26,171.32
1426,101,762,2008-05-15 10:23:25,1067.1
4989,87,922,2008-03-25 2:07:43,2059.52
537,142,432,2008-04-06 14:13:01,-662.27
3469,121,840,2008-04-10 21:32:37,1059.83
4739,122,182,2008-01-02 7:52:34,-656.99
4885,30,888,2007-10-30 23:15:38,124.02
4361,129,301,2008-01-25 7:33:01,62.68
1636,185,533,2008-01-16 3:27:15,10101.67
2032,101,341,2008-01-23 15:20:04,158.88
3689,91,164,2007-11-21 1:29:50,148.86
2159,166,718,2008-04-20 22:24:11,2046.18
4734,8,384,2008-05-13 2:22:21,146.23
1560,51,114,2007-12-17 8:22:06,-657.33
1186,88,887,2007-10-17 0:15:58,2082.61
1306,163,393,2008-04-02 8:50:26,177.37
3034,137,249,2007-06-20 12:13:51,119.63
2325,60,277,2008-01-29 15:02:18,-663.88
1767,92,528,2007-06-05 11:09:49,10064.69
3701,191,908,2008-06-25 4:38:45,144.82
4210,35,495,2008-06-06 20:42:57,1086.17
3089,34,230,2008-03-15 10:28:15,1093.98
675,87,950,2008-04-28 17:09:38,2068.39
350,168,208,2008-05-15 10:10:10,1080.96
4911,28,678,2007-10-25 8:36:46,160.07
3841,185,450,2008-04-13 13:36:06,115.46
1885,182,497,2007-05-23 22:13:16,1034.46
3476,66,147,2008-04-08 19:52:22,10052.53
4945,86,443,2007-08-18 4:05:05,2077.3
1324,103,884,2007-11-30 0:59:12,78.87
2693,131,791,2007-12-22 16:17:29,1046.18
1498,96,614,2008-03-01 4:50:15,172.34
4447,27,479,2008-05-12 23:02:49,117.07
2147,196,827,2008-01-23 15:07:52,125.79
4095,179,185,2007-07-19 2:59:31,177.63
3619,165,431,2007-10-30 11:44:28,146.71
898,12,150,2007-11-28 0:26:14,10053.43
4065,88,413,2008-04-22 18:50:55,2067.09
1400,190,361,2007-08-06 5:12:05,1035.42
4772,68,934,2008-05-27 5:00:40,168.55
3396,37,353,2007-06-30 3:59:55,1070.51
3290,188,930,2007-06-01 6:50:39,10082.34
1351,38,361,2007-05-19 6:27:51,-628.51
3368,63,116,2007-11-17 2:06:41,10084.57
912,19,417,2007-05-14 14:58:10,143.21
3005,164,842,2007-10-24 1:08:58,136.86
227,9,155,2008-04-23 17:59:18,-620.96
3633,166,511,2007-12-29 16:10:08,1039.97
4591,133,377,2007-12-02 14:39:04,2081.42
888,9,405,2008-01-27 13:17:10,133.23
2003,198,217,2008-04-16 12:31:53,1045.36
1304,153,300,2007-10-30 23:15:38,-629.56
1312,167,562,2008-01-17 9:28:52,1072.13
1072,2,861,2007-08-18 4:05:05,133.36
1682,68,227,2008-01-29 15:02:18,66.68
1129,115,167,2008-04-26 9:03:21,1127.23
1854,108,460,2007-07-10 7:57:53,90.26
3882,136,493,2008-06-28 11:49:14,29.76
1332,177,550,2007-07-18 18:12:52,120.49
1899,127,643,2008-01-26 20:42:30,158.9
1995,117,587,2007-12-19 9:24:45,1111.98
4665,125,813,2007-12-19 16:47:44,1051.18
182,97,302,2008-05-17 2:30:25,1047.52
4734,190,328,2007-08-27 10:22:28,187.7
3797,111,930,2007-08-01 3:15:42,10060.19
1223,74,621,2008-02-01 17:14:11,169.91
408,166,228,2007-12-31 2:58:16,-677.24
2942,42,156,2008-01-27 13:17:10,102.44
2131,100,669,2008-01-23 15:20:04,1058.87
2667,132,922,2008-02-02 22:31:47,10053.18
1831,164,917,2007-12-08 5:56:40,10046.42
2070,97,500,2007-07-12 14:08:58,2053.15
3252,151,955,2008-05-12 23:02:49,1040.5
1003,177,789,2007-11-23 16:22:05,2052.85
1845,55,429,2008-02-05 12:23:59,140.51
1677,182,446,2007-08-27 10:22:28,2044.48
2818,127,587,2007-10-17 0:15:58,65.74
390,87,670,2007-11-29 0:20:44,-635.03
1341,147,196,2008-01-18 23:42:52,182.16
981,71,170,2007-06-01 6:50:39,-613.51
323,137,121,2008-01-13 19:10:05,1098.71
2814,3,505,2007-12-14 0:46:25,140.77
3231,138,188,2008-01-13 1:51:28,1065.81
3739,156,982,2007-08-12 3:28:06,1106.49
335,119,411,2008-05-02 9:16:05,1087.05
2852,39,691,2008-01-02 16:15:14,158.38
2495,102,301,2007-06-16 17:42:15,1075.95
3667,44,136,2008-06-13 8:03:11,118.95
3289,133,130,2007-08-08 3:35:37,94.22
3345,198,331,2008-03-16 10:10:02,-626.13
300,20,990,2007-11-24 20:44:12,143.28
220,112,361,2007-07-30 9:29:11,10062.93
4828,94,186,2007-07-21 13:22:14,84.45
3008,80,425,2007-07-21 21:40:35,1066.8
4853,50,373,2007-06-03 20:23:21,1073.92
820,6,508,2008-04-23 20:00:01,59.28
2859,10,466,2008-06-25 4:38:45,1097.13
1483,138,169,2008-05-15 15:11:49,1111.21
3145,86,217,2008-01-16 20:22:34,126.93
